X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,0.00000,0.03000,0.00000,3.02000,3.02000,45.32000,45.32000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,63.00000,63.44000
0.00000,0.70000,0.00000,0.00000,0.00000,3.02000,3.02000,63.00000,63.44000
0.00000,0.70000,-0.00000,0.00000,0.08000,3.02000,3.02000,81.36000,81.56000
0.00000,0.70000,-0.02000,0.03000,0.92000,3.02000,3.02000,81.36000,81.56000
0.00000,0.70000,-0.02000,0.03000,0.33000,3.01000,2.95000,98.92000,84.85000
0.00000,0.70000,0.01000,1.53000,0.00000,3.01000,2.93000,98.92000,84.85000
0.00000,0.70000,0.02000,0.78000,0.00000,3.00000,3.02000,94.08000,111.83000
0.01000,0.70000,0.04000,1.00000,0.00000,2.94000,3.01000,94.08000,111.83000
0.01000,0.70000,0.06000,1.39000,0.39000,2.87000,3.00000,108.92000,129.62000
0.01000,0.70000,0.06000,1.56000,1.17000,2.81000,2.98000,108.92000,129.62000
0.02000,0.70000,0.07000,2.18000,2.01000,2.78000,2.97000,110.40000,129.68000
0.02000,0.70000,0.06000,2.68000,2.76000,2.77000,2.97000,110.40000,129.68000
0.03000,0.70000,0.06000,2.96000,3.18000,2.77000,2.97000,100.89000,116.63000
0.03000,0.70000,0.06000,3.01000,3.04000,2.79000,2.97000,100.89000,116.63000
0.04000,0.70000,0.06000,3.21000,3.35000,2.79000,2.97000,96.65000,113.77000
0.05000,0.70000,0.05000,3.04000,3.21000,2.79000,2.98000,96.65000,113.77000
0.06000,0.70000,0.05000,3.07000,3.12000,2.80000,2.98000,95.11000,110.93000
0.06000,0.70000,0.06000,3.12000,2.90000,2.80000,2.98000,95.11000,110.93000
0.07000,0.70000,0.06000,3.07000,2.79000,2.79000,2.98000,92.24000,114.12000
0.08000,0.70000,0.07000,3.01000,2.79000,2.77000,2.97000,92.24000,114.12000
0.08000,0.70000,0.07000,2.87000,2.84000,2.76000,2.97000,91.42000,116.09000
0.09000,0.70000,0.06000,2.62000,2.82000,2.75000,2.96000,91.42000,116.09000
0.09000,0.71000,0.05000,2.34000,2.84000,2.76000,2.97000,95.85000,116.77000
0.10000,0.71000,0.05000,2.70000,2.73000,2.79000,2.98000,95.85000,116.77000
0.11000,0.71000,0.05000,2.70000,2.79000,2.79000,2.98000,95.88000,119.06000
0.11000,0.71000,0.05000,2.73000,2.93000,2.80000,2.98000,95.88000,119.06000
0.12000,0.71000,0.04000,2.79000,3.04000,2.81000,2.98000,96.21000,117.66000
0.13000,0.71000,0.04000,2.87000,2.98000,2.82000,2.98000,96.21000,117.66000
0.13000,0.71000,0.04000,2.90000,2.98000,2.83000,2.99000,94.86000,117.21000
0.14000,0.71000,0.03000,2.76000,3.07000,2.83000,2.99000,94.86000,117.21000
0.15000,0.71000,0.03000,2.84000,3.12000,2.85000,2.99000,96.63000,116.06000
0.15000,0.71000,0.03000,3.09000,3.07000,2.87000,3.00000,96.63000,116.06000
0.16000,0.71000,0.03000,3.04000,2.98000,2.87000,2.99000,92.37000,115.66000
0.17000,0.71000,0.03000,3.07000,3.01000,2.86000,2.99000,92.37000,115.66000
