X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,49.25000,49.25000
0.00000,0.70000,0.00000,0.14000,0.00000,3.28000,3.28000,49.25000,49.25000
0.00000,0.70000,0.00000,0.00000,0.00000,3.27000,3.27000,66.69000,68.80000
0.00000,0.70000,-0.00000,0.00000,0.31000,3.27000,3.27000,66.69000,68.80000
0.00000,0.70000,-0.00000,0.00000,0.00000,3.27000,3.27000,87.55000,83.76000
0.00000,0.70000,-0.00000,0.33000,0.20000,3.27000,3.27000,87.55000,83.76000
0.00000,0.70000,0.01000,1.48000,0.78000,3.28000,3.28000,102.33000,103.41000
0.01000,0.70000,0.01000,0.92000,1.06000,3.10000,3.11000,102.33000,103.41000
0.01000,0.70000,0.02000,1.51000,1.00000,3.17000,3.17000,109.48000,107.33000
0.01000,0.70000,0.03000,2.26000,1.45000,2.81000,2.84000,109.48000,107.33000
0.02000,0.70000,0.04000,2.70000,2.09000,1.65000,1.92000,80.14000,95.30000
0.02000,0.70000,0.05000,2.54000,2.15000,1.40000,1.75000,80.14000,95.30000
0.03000,0.70000,0.05000,2.23000,2.43000,1.36000,1.77000,67.97000,85.42000
0.03000,0.70000,0.03000,1.31000,2.04000,1.38000,1.76000,67.97000,85.42000
0.04000,0.70000,0.03000,1.14000,1.45000,1.55000,1.84000,82.19000,85.88000
0.04000,0.70000,0.02000,0.42000,1.20000,1.83000,2.07000,82.19000,85.88000
0.04000,0.70000,0.01000,0.67000,0.75000,2.94000,2.95000,117.80000,113.98000
0.04000,0.70000,0.03000,1.62000,0.89000,3.00000,3.02000,117.80000,113.98000
0.05000,0.70000,0.04000,2.65000,1.84000,2.01000,2.23000,100.98000,118.20000
0.05000,0.70000,0.05000,2.93000,2.56000,1.42000,1.76000,100.98000,118.20000
0.06000,0.70000,0.05000,2.90000,2.95000,1.37000,1.76000,74.13000,94.13000
0.06000,0.70000,0.04000,2.40000,2.70000,1.37000,1.76000,74.13000,94.13000
0.07000,0.70000,0.03000,2.01000,2.43000,1.41000,1.75000,73.29000,87.12000
0.07000,0.70000,0.03000,1.87000,1.92000,1.54000,1.83000,73.29000,87.12000
0.08000,0.70000,0.04000,1.76000,1.53000,1.56000,1.85000,77.62000,94.51000
0.08000,0.70000,0.04000,1.42000,1.42000,1.46000,1.77000,77.62000,94.51000
0.08000,0.70000,0.04000,1.62000,1.37000,1.46000,1.77000,80.87000,100.47000
0.09000,0.70000,0.04000,1.37000,1.70000,1.40000,1.75000,80.87000,100.47000
0.09000,0.70000,0.04000,1.87000,1.70000,1.48000,1.79000,82.25000,98.59000
0.10000,0.70000,0.04000,1.87000,1.98000,1.43000,1.76000,82.25000,98.59000
0.10000,0.70000,0.04000,2.20000,2.09000,1.45000,1.77000,75.02000,94.70000
0.11000,0.70000,0.03000,1.76000,1.98000,1.42000,1.76000,75.02000,94.70000
0.11000,0.70000,0.03000,1.81000,1.81000,1.48000,1.79000,74.65000,93.71000
0.11000,0.70000,0.03000,1.34000,1.65000,1.48000,1.79000,74.65000,93.71000
0.12000,0.70000,0.03000,1.62000,1.48000,1.66000,1.93000,81.94000,99.63000
0.12000,0.70000,0.02000,1.34000,1.70000,1.55000,1.84000,81.94000,99.63000
0.12000,0.70000,0.03000,1.87000,1.84000,1.90000,2.13000,87.39000,103.52000
0.13000,0.70000,0.02000,1.84000,2.15000,1.85000,2.09000,87.39000,103.52000
0.13000,0.70000,0.02000,2.23000,2.15000,2.33000,2.46000,89.72000,104.40000
0.14000,0.70000,0.02000,2.17000,2.43000,2.15000,2.36000,89.72000,104.40000
0.14000,0.70000,0.02000,2.37000,2.45000,2.60000,2.64000,91.67000,104.72000
0.15000,0.70000,0.02000,2.48000,2.40000,2.70000,2.73000,91.67000,104.72000
0.15000,0.70000,0.02000,2.40000,2.43000,2.58000,2.62000,89.30000,106.12000
0.16000,0.70000,0.02000,2.51000,2.31000,2.61000,2.64000,89.30000,106.12000
0.17000,0.71000,0.02000,2.45000,2.26000,2.23000,2.42000,84.23000,105.66000
0.17000,0.71000,0.02000,2.20000,2.37000,1.91000,2.14000,84.23000,105.66000
0.18000,0.71000,0.02000,2.23000,2.23000,2.15000,2.35000,85.95000,104.49000
0.18000,0.71000,0.02000,2.12000,2.26000,2.13000,2.34000,85.95000,104.49000
0.19000,0.71000,0.02000,2.17000,2.26000,2.39000,2.49000,90.47000,108.11000
0.19000,0.71000,0.02000,2.31000,2.26000,2.53000,2.57000,90.47000,108.11000
0.20000,0.71000,0.01000,2.29000,2.56000,2.41000,2.50000,89.53000,109.69000
0.20000,0.71000,0.01000,2.70000,2.68000,2.79000,2.82000,89.53000,109.69000
0.21000,0.71000,0.02000,2.84000,2.65000,2.75000,2.78000,89.38000,109.06000
0.21000,0.71000,0.02000,2.96000,2.76000,2.47000,2.53000,89.38000,109.06000
0.22000,0.71000,0.02000,2.87000,2.84000,2.08000,2.29000,75.84000,101.13000
0.23000,0.71000,0.01000,2.34000,2.79000,2.02000,2.24000,75.84000,101.13000
0.23000,0.71000,0.01000,2.12000,2.48000,2.74000,2.76000,89.60000,104.96000
0.24000,0.71000,0.01000,2.51000,2.20000,3.05000,3.06000,89.60000,104.96000
0.24000,0.71000,0.01000,1.78000,1.90000,2.78000,2.81000,90.18000,114.28000
0.25000,0.71000,0.01000,2.12000,2.06000,2.89000,2.91000,90.18000,114.28000
0.25000,0.71000,0.01000,2.17000,2.43000,2.83000,2.85000,98.39000,120.67000
0.26000,0.71000,0.01000,2.62000,2.59000,3.03000,3.05000,98.39000,120.67000
0.26000,0.71000,0.01000,3.37000,2.90000,3.01000,3.02000,97.84000,120.04000
0.27000,0.71000,0.02000,3.51000,3.09000,2.48000,2.54000,97.84000,120.04000
0.28000,0.71000,0.02000,3.09000,3.12000,1.78000,2.02000,68.29000,100.10000
0.28000,0.71000,0.01000,2.43000,2.87000,1.79000,2.04000,68.29000,100.10000
0.29000,0.71000,-0.00000,1.67000,2.48000,2.51000,2.55000,85.11000,104.92000
0.29000,0.71000,-0.00000,2.34000,2.43000,3.19000,3.19000,85.11000,104.92000
0.30000,0.71000,0.01000,2.70000,2.26000,3.22000,3.22000,97.50000,119.75000
0.31000,0.71000,0.02000,2.87000,2.31000,2.98000,3.00000,97.50000,119.75000
0.31000,0.71000,0.02000,2.84000,2.84000,2.23000,2.42000,79.99000,114.10000
0.32000,0.71000,0.01000,2.51000,3.04000,2.20000,2.40000,79.99000,114.10000
0.32000,0.71000,-0.01000,2.31000,3.18000,2.93000,2.95000,92.15000,111.87000
0.33000,0.71000,-0.02000,2.37000,3.07000,3.28000,3.28000,92.15000,111.87000
0.34000,0.71000,-0.03000,2.76000,3.01000,3.12000,3.11000,99.59000,113.34000
0.34000,0.71000,-0.02000,3.09000,2.98000,2.95000,2.94000,99.59000,113.34000
0.35000,0.71000,-0.02000,3.15000,2.82000,3.03000,3.02000,91.84000,113.41000
0.36000,0.71000,-0.02000,2.84000,2.90000,3.19000,3.19000,91.84000,113.41000
0.36000,0.71000,-0.02000,2.51000,2.70000,3.17000,3.16000,97.36000,117.11000
0.37000,0.71000,-0.02000,3.21000,2.90000,3.07000,3.06000,97.36000,117.11000
