X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,9.46000,-6.05000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,9.46000,-6.05000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,13.24000,-8.47000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,13.24000,-8.47000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,17.03000,-10.89000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,17.03000,-10.89000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,20.81000,-13.31000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,20.81000,-13.31000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,24.60000,-15.73000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,24.60000,-15.73000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,28.38000,-18.15000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,28.38000,-18.15000
0.00000,0.00000,0.00000,0.03000,0.00000,0.63000,-0.40000,32.17000,-20.57000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,32.17000,-20.57000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,35.96000,-22.98000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,35.96000,-22.98000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,39.75000,-25.40000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,39.75000,-25.40000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,43.54000,-27.82000
0.00000,0.00000,0.00000,0.03000,0.00000,0.63000,-0.40000,43.54000,-27.82000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,46.92000,-30.22000
0.00000,0.00000,0.00000,0.00000,0.00000,0.63000,-0.40000,46.92000,-30.22000
0.00000,0.00000,0.00000,0.03000,0.00000,0.63000,-0.40000,50.97000,-32.64000
0.00000,0.00000,0.00000,0.14000,0.00000,0.63000,-0.40000,50.97000,-32.64000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,52.74000,-34.99000
0.00000,0.00000,0.00000,0.03000,0.00000,0.64000,-0.40000,52.74000,-34.99000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,57.41000,-37.37000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,57.41000,-37.37000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,61.48000,-39.75000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,61.48000,-39.75000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,65.31000,-42.14000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,65.31000,-42.14000
0.00000,0.00000,0.00000,0.00000,0.00000,0.64000,-0.40000,69.14000,-44.52000
0.00000,0.00000,0.01000,0.03000,0.00000,0.64000,-0.40000,69.14000,-44.52000
0.00000,0.00000,0.01000,0.00000,0.00000,0.64000,-0.40000,72.55000,-46.90000
0.00000,0.00000,0.01000,0.00000,0.00000,0.64000,-0.40000,72.55000,-46.90000
0.00000,0.00000,0.01000,0.00000,0.00000,0.64000,-0.40000,76.64000,-49.28000
0.00000,0.00000,0.01000,0.31000,0.00000,0.64000,-0.40000,76.64000,-49.28000
0.00000,0.00000,0.02000,0.56000,0.00000,0.65000,-0.39000,76.00000,-51.54000
0.00000,0.00000,0.02000,0.00000,0.00000,0.66000,-0.37000,76.00000,-51.54000
0.00000,0.00000,0.02000,0.00000,0.00000,0.66000,-0.37000,82.89000,-53.65000
0.00000,0.00000,0.02000,0.00000,0.00000,0.66000,-0.37000,82.89000,-53.65000
0.00000,0.00000,0.02000,0.03000,0.00000,0.66000,-0.37000,86.87000,-55.90000
0.00000,0.00000,0.02000,0.00000,0.00000,0.66000,-0.37000,86.87000,-55.90000
0.00000,0.00000,0.02000,0.00000,0.00000,0.66000,-0.37000,90.86000,-58.13000
0.00000,0.00000,0.02000,0.03000,0.00000,0.66000,-0.37000,90.86000,-58.13000
0.00000,0.00000,0.02000,0.08000,0.00000,0.67000,-0.37000,94.44000,-60.36000
0.00000,0.00000,0.03000,0.17000,0.00000,0.67000,-0.37000,94.44000,-60.36000
0.00000,0.00000,0.03000,0.00000,0.00000,0.67000,-0.37000,96.29000,-62.48000
0.00000,0.00000,0.03000,0.00000,0.00000,0.67000,-0.37000,96.29000,-62.48000
0.00000,0.00000,0.03000,0.03000,0.00000,0.67000,-0.37000,101.84000,-64.67000
0.00000,0.00000,0.03000,0.00000,0.00000,0.67000,-0.36000,101.84000,-64.67000
0.00000,0.00000,0.03000,0.03000,0.00000,0.67000,-0.36000,105.89000,-66.85000
0.00000,0.00000,0.03000,0.33000,0.00000,0.67000,-0.36000,105.89000,-66.85000
0.00000,0.00000,0.05000,0.89000,0.00000,0.69000,-0.35000,105.10000,-68.86000
0.00000,0.00000,0.08000,1.56000,0.00000,0.72000,-0.32000,105.10000,-68.86000
0.01000,0.00000,0.11000,1.98000,0.00000,0.79000,-0.24000,90.42000,-69.31000
0.01000,0.00000,0.15000,2.04000,0.00000,0.92000,-0.11000,90.42000,-69.31000
0.01000,0.00000,0.19000,1.95000,0.00000,1.09000,0.07000,83.09000,-66.14000
0.01000,0.00000,0.22000,1.78000,0.00000,1.28000,0.27000,83.09000,-66.14000
0.02000,0.00000,0.25000,1.78000,0.00000,1.49000,0.44000,87.18000,-60.15000
0.02000,0.00000,0.28000,1.65000,0.00000,1.66000,0.58000,87.18000,-60.15000
0.02000,0.00000,0.31000,1.53000,0.00000,1.79000,0.69000,92.09000,-53.80000
0.02000,0.00000,0.33000,1.25000,0.00000,1.89000,0.76000,92.09000,-53.80000
0.02000,0.00000,0.36000,1.51000,0.00000,1.96000,0.80000,101.27000,-47.91000
0.02000,0.00000,0.38000,1.26000,0.00000,2.02000,0.84000,101.27000,-47.91000
0.02000,0.00000,0.41000,1.67000,0.00000,2.06000,0.87000,107.05000,-42.13000
0.03000,0.01000,0.45000,2.34000,0.00000,2.10000,0.89000,107.05000,-42.13000
0.03000,0.01000,0.50000,2.68000,0.00000,2.15000,0.90000,96.87000,-36.45000
0.03000,0.01000,0.55000,2.56000,0.00000,2.18000,0.91000,96.87000,-36.45000
0.03000,0.01000,0.59000,2.40000,0.00000,2.20000,0.90000,93.11000,-30.97000
0.04000,0.01000,0.63000,2.34000,0.00000,2.21000,0.91000,93.11000,-30.97000
0.04000,0.01000,0.67000,1.98000,0.00000,2.21000,0.91000,94.45000,-25.50000
0.04000,0.01000,0.71000,2.04000,0.00000,2.21000,0.91000,94.45000,-25.50000
0.04000,0.02000,0.74000,1.87000,0.00000,2.21000,0.91000,98.27000,-20.01000
0.04000,0.02000,0.78000,2.04000,0.00000,2.21000,0.91000,98.27000,-20.01000
0.05000,0.02000,0.82000,2.15000,0.00000,2.21000,0.92000,99.29000,-14.47000
0.05000,0.02000,0.86000,2.34000,0.00000,2.20000,0.92000,99.29000,-14.47000
0.05000,0.02000,0.90000,2.51000,0.00000,2.19000,0.93000,95.45000,-8.69000
0.05000,0.02000,0.94000,2.31000,0.00000,2.17000,0.96000,95.45000,-8.69000
0.05000,0.03000,0.99000,2.23000,0.00000,2.14000,0.99000,94.15000,-2.28000
0.05000,0.03000,1.03000,2.34000,0.00000,2.09000,1.03000,94.15000,-2.28000
0.05000,0.03000,1.07000,2.12000,0.00000,2.03000,1.10000,91.05000,5.28000
0.06000,0.03000,1.10000,2.09000,0.00000,1.95000,1.18000,91.05000,5.28000
0.06000,0.04000,1.14000,1.98000,0.00000,1.84000,1.28000,90.08000,14.67000
0.06000,0.04000,1.17000,1.70000,0.00000,1.80000,1.49000,90.08000,14.67000
0.06000,0.04000,1.20000,1.70000,0.00000,3.22000,3.21000,115.12000,51.32000
0.06000,0.04000,1.24000,2.15000,0.00000,2.47000,2.53000,115.12000,51.32000
0.06000,0.04000,1.29000,2.76000,0.00000,1.32000,1.80000,89.07000,49.43000
0.06000,0.05000,1.34000,2.65000,0.00000,1.17000,1.95000,89.07000,49.43000
0.06000,0.05000,1.38000,2.20000,0.03000,1.07000,2.05000,72.86000,63.97000
0.06000,0.05000,1.41000,1.70000,0.00000,1.02000,2.11000,72.86000,63.97000
0.06000,0.05000,1.42000,0.61000,0.00000,0.98000,2.14000,76.30000,77.63000
0.06000,0.05000,1.42000,0.00000,0.00000,0.98000,2.15000,76.30000,77.63000
0.06000,0.05000,1.42000,0.00000,0.00000,0.98000,2.15000,97.38000,90.62000
0.06000,0.05000,1.42000,0.03000,0.00000,0.98000,2.15000,97.38000,90.62000
0.06000,0.05000,1.42000,0.25000,0.00000,0.97000,2.15000,102.80000,103.53000
0.06000,0.05000,1.44000,0.84000,0.03000,0.97000,2.15000,102.80000,103.53000
0.06000,0.05000,1.47000,1.78000,0.00000,0.96000,2.16000,96.12000,116.22000
0.06000,0.06000,1.50000,1.78000,0.03000,0.94000,2.18000,96.12000,116.22000
0.06000,0.06000,1.51000,2.04000,1.65000,0.93000,2.20000,82.16000,129.52000
0.06000,0.07000,1.50000,1.53000,2.09000,0.92000,2.20000,82.16000,129.52000
0.06000,0.07000,1.48000,1.62000,2.68000,0.93000,2.20000,80.78000,111.59000
0.06000,0.07000,1.45000,1.25000,2.79000,0.93000,2.19000,80.78000,111.59000
0.06000,0.08000,1.43000,1.28000,2.54000,0.94000,2.18000,81.57000,101.55000
0.07000,0.08000,1.42000,1.59000,2.12000,0.95000,2.17000,81.57000,101.55000
0.07000,0.09000,1.41000,1.48000,1.95000,0.96000,2.17000,74.91000,107.70000
0.07000,0.09000,1.40000,1.56000,2.04000,0.96000,2.16000,74.91000,107.70000
0.07000,0.09000,1.39000,1.48000,2.01000,0.97000,2.16000,71.69000,109.11000
0.07000,0.10000,1.38000,1.37000,2.20000,0.97000,2.15000,71.69000,109.11000
0.07000,0.10000,1.37000,1.59000,2.23000,0.98000,2.14000,71.31000,107.09000
0.07000,0.11000,1.35000,1.39000,2.20000,0.99000,2.13000,71.31000,107.09000
0.07000,0.11000,1.34000,1.51000,2.17000,1.01000,2.12000,68.91000,106.39000
