X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.00000,0.70000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,-0.00000,0.00000
0.00000,0.70000,0.00000,0.00000,0.00000,3.28000,3.28000,49.25000,49.25000
0.00000,0.70000,0.00000,0.06000,0.00000,3.28000,3.28000,49.25000,49.25000
0.00000,0.70000,0.01000,0.33000,0.00000,3.28000,3.28000,68.07000,68.91000
0.00000,0.70000,0.01000,0.20000,0.00000,3.22000,3.22000,68.07000,68.91000
0.00000,0.70000,0.01000,0.00000,0.00000,3.14000,3.15000,83.24000,86.63000
0.00000,0.70000,-0.00000,0.06000,0.81000,3.14000,3.15000,83.24000,86.63000
0.00000,0.70000,0.01000,1.34000,0.84000,3.27000,3.27000,104.94000,95.17000
0.01000,0.70000,0.03000,1.39000,0.00000,3.23000,3.24000,104.94000,95.17000
0.01000,0.70000,0.07000,2.26000,0.00000,1.77000,2.02000,81.58000,103.27000
0.01000,0.70000,0.10000,2.31000,0.59000,1.29000,1.83000,81.58000,103.27000
0.02000,0.70000,0.11000,1.98000,1.42000,1.20000,1.93000,61.47000,105.28000
0.02000,0.70000,0.10000,1.20000,1.84000,1.17000,1.95000,61.47000,105.28000
0.02000,0.70000,0.09000,0.89000,1.81000,1.20000,1.93000,71.52000,94.49000
0.02000,0.70000,0.07000,1.17000,1.81000,1.25000,1.88000,71.52000,94.49000
0.03000,0.70000,0.07000,0.86000,1.20000,1.28000,1.85000,73.13000,94.20000
0.03000,0.70000,0.07000,1.59000,1.53000,1.30000,1.83000,73.13000,94.20000
0.03000,0.70000,0.08000,2.04000,1.39000,1.29000,1.83000,67.71000,98.34000
0.04000,0.70000,0.07000,1.42000,1.76000,1.26000,1.87000,67.71000,98.34000
0.04000,0.70000,0.07000,1.67000,1.76000,1.27000,1.85000,68.17000,97.09000
0.05000,0.70000,0.07000,1.84000,1.84000,1.28000,1.85000,68.17000,97.09000
0.05000,0.70000,0.08000,2.29000,2.01000,1.28000,1.85000,61.04000,96.35000
0.06000,0.70000,0.08000,1.87000,1.90000,1.26000,1.87000,61.04000,96.35000
0.06000,0.70000,0.08000,1.98000,1.87000,1.26000,1.86000,57.01000,95.82000
0.06000,0.70000,0.10000,2.84000,1.64000,1.25000,1.87000,57.01000,95.82000
0.07000,0.71000,0.14000,3.24000,1.09000,1.19000,1.93000,37.69000,100.45000
0.07000,0.71000,0.13000,0.31000,0.81000,1.10000,2.02000,37.69000,100.45000
0.07000,0.71000,0.14000,1.70000,1.03000,1.12000,2.01000,64.77000,115.80000
0.08000,0.71000,0.13000,1.00000,1.65000,1.10000,2.03000,64.77000,115.80000
0.08000,0.71000,0.13000,1.78000,1.90000,1.12000,2.01000,59.16000,110.48000
0.09000,0.71000,0.13000,2.23000,2.28000,1.12000,2.01000,59.16000,110.48000
0.09000,0.71000,0.12000,1.70000,2.23000,1.12000,2.01000,41.52000,103.03000
0.09000,0.71000,0.08000,0.00000,2.09000,1.14000,1.99000,41.52000,103.03000
0.09000,0.71000,0.04000,0.00000,2.12000,1.24000,1.89000,70.03000,102.53000
0.10000,0.71000,0.03000,1.03000,1.84000,1.36000,1.77000,70.03000,102.53000
0.10000,0.71000,-0.01000,0.00000,2.04000,1.51000,1.81000,66.12000,103.85000
0.10000,0.71000,-0.04000,0.00000,1.90000,3.28000,3.28000,66.12000,103.85000
0.10000,0.71000,-0.08000,0.00000,2.01000,1.90000,1.63000,90.27000,100.12000
0.11000,0.71000,-0.08000,1.84000,1.90000,1.83000,1.29000,90.27000,100.12000
0.11000,0.71000,-0.09000,1.67000,1.98000,1.83000,1.29000,73.07000,93.45000
0.12000,0.71000,-0.09000,1.73000,1.81000,1.85000,1.27000,73.07000,93.45000
0.12000,0.71000,-0.09000,1.92000,2.18000,1.86000,1.27000,75.08000,90.71000
0.13000,0.71000,-0.09000,1.78000,1.73000,1.87000,1.25000,75.08000,90.71000
0.13000,0.71000,-0.09000,1.87000,1.62000,1.87000,1.25000,75.24000,88.51000
0.13000,0.71000,-0.09000,1.48000,1.56000,1.86000,1.27000,75.24000,88.51000
0.14000,0.71000,-0.08000,1.84000,1.53000,1.87000,1.26000,80.25000,88.26000
0.14000,0.71000,-0.08000,1.48000,1.34000,1.85000,1.28000,80.25000,88.26000
0.14000,0.71000,-0.08000,1.65000,1.65000,1.84000,1.28000,82.21000,90.14000
0.15000,0.70000,-0.08000,1.45000,1.34000,1.84000,1.28000,82.21000,90.14000
0.15000,0.70000,-0.08000,1.70000,1.59000,1.84000,1.29000,84.72000,89.87000
0.15000,0.70000,-0.07000,1.76000,1.45000,1.83000,1.29000,84.72000,89.87000
0.16000,0.70000,-0.07000,1.65000,1.42000,1.81000,1.31000,82.09000,88.24000
0.16000,0.70000,-0.07000,1.70000,1.76000,1.80000,1.32000,82.09000,88.24000
0.16000,0.70000,-0.06000,1.76000,1.34000,1.80000,1.32000,83.14000,82.93000
0.17000,0.70000,-0.06000,1.65000,1.56000,1.78000,1.35000,83.14000,82.93000
0.17000,0.70000,-0.05000,1.70000,1.25000,1.78000,1.35000,84.17000,83.71000
0.17000,0.70000,-0.04000,1.87000,1.51000,1.75000,1.39000,84.17000,83.71000
0.18000,0.70000,-0.04000,1.76000,1.39000,1.77000,1.45000,81.51000,84.75000
0.18000,0.70000,-0.03000,1.73000,1.12000,1.90000,1.63000,81.51000,84.75000
0.18000,0.70000,-0.02000,1.59000,1.39000,2.56000,2.52000,94.93000,106.32000
0.19000,0.70000,-0.02000,2.06000,1.87000,2.79000,2.77000,94.93000,106.32000
0.19000,0.70000,-0.02000,2.45000,2.26000,2.97000,2.95000,100.95000,109.91000
0.20000,0.70000,0.00000,3.57000,2.62000,3.09000,3.08000,100.95000,109.91000
0.21000,0.70000,0.01000,3.29000,2.84000,3.25000,3.26000,88.12000,109.73000
0.22000,0.70000,0.02000,3.32000,2.95000,3.09000,3.10000,88.12000,109.73000
0.22000,0.70000,0.02000,3.26000,3.07000,2.79000,2.81000,82.97000,101.84000
0.23000,0.70000,0.04000,4.10000,2.98000,2.52000,2.57000,82.97000,101.84000
0.24000,0.70000,0.04000,3.04000,2.79000,1.41000,1.76000,47.48000,84.73000
0.24000,0.70000,0.03000,1.53000,2.40000,1.38000,1.76000,47.48000,84.73000
0.24000,0.70000,0.02000,1.20000,1.89000,1.68000,1.94000,73.79000,88.90000
0.25000,0.70000,0.01000,1.39000,1.76000,2.71000,2.74000,73.79000,88.90000
0.25000,0.70000,0.02000,1.00000,0.56000,3.04000,3.05000,97.13000,112.40000
0.25000,0.70000,0.05000,1.98000,0.03000,2.59000,2.63000,97.13000,112.40000
0.26000,0.70000,0.06000,2.31000,1.76000,1.34000,1.79000,72.75000,127.13000
0.26000,0.70000,0.07000,2.04000,1.81000,1.30000,1.82000,72.75000,127.13000
0.27000,0.70000,0.05000,2.03000,2.79000,1.29000,1.83000,67.30000,111.66000
0.27000,0.70000,0.04000,1.73000,2.73000,1.33000,1.79000,67.30000,111.66000
0.28000,0.70000,0.02000,1.62000,2.68000,1.43000,1.76000,69.59000,96.89000
0.28000,0.70000,0.00000,1.65000,2.37000,2.55000,2.59000,69.59000,96.89000
0.29000,0.70000,-0.00000,1.59000,2.01000,3.17000,3.17000,95.07000,117.68000
0.29000,0.70000,-0.01000,1.76000,2.09000,3.27000,3.28000,95.07000,117.68000
