neurons,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
12,4,0.1,saved_models/model_U12_TS4_L2-0.1.keras,0.9461269378662109,0.004519852343946695,0.9163999557495117,0.012162459082901478,0.7801303863525391,0.013007194735109806
10,3,0.9,saved_models/model_U10_TS3_L2-0.9.keras,0.9320655465126038,0.005696973297744989,0.8629295825958252,0.019926534965634346,0.7522951364517212,0.014646698720753193
17,4,0.1,saved_models/model_U17_TS4_L2-0.1.keras,0.9627028107643127,0.0031291688792407513,0.915612518787384,0.012277023866772652,0.7519562244415283,0.01467394270002842
12,3,0.1,saved_models/model_U12_TS3_L2-0.1.keras,0.9479050040245056,0.004368677735328674,0.8740075826644897,0.01831606961786747,0.7402176856994629,0.015360829420387745
13,4,0.9,saved_models/model_U13_TS4_L2-0.9.keras,0.9662998914718628,0.0028273779898881912,0.9104164838790894,0.013032963499426842,0.7399284243583679,0.015385490842163563
13,3,0.1,saved_models/model_U13_TS3_L2-0.1.keras,0.9445684552192688,0.004648480098694563,0.9011088013648987,0.01437624916434288,0.7381464242935181,0.015483303926885128
16,3,0.1,saved_models/model_U16_TS3_L2-0.1.keras,0.9152818322181702,0.007104450836777687,0.8990843892097473,0.014670549891889095,0.7282597422599792,0.016067901626229286
17,4,0.9,saved_models/model_U17_TS4_L2-0.9.keras,0.9330663084983826,0.00561561668291688,0.8682910203933716,0.019161542877554893,0.7260096073150635,0.016208907589316368
12,4,0.9,saved_models/model_U12_TS4_L2-0.9.keras,0.9463842511177063,0.0044982656836509705,0.9027209281921387,0.014152538031339645,0.7260032296180725,0.016209285706281662
17,3,0.9,saved_models/model_U17_TS3_L2-0.9.keras,0.9504286050796509,0.004157046787440777,0.8681312799453735,0.019170332700014114,0.7223206162452698,0.016419079154729843
10,4,0.9,saved_models/model_U10_TS4_L2-0.9.keras,0.9622211456298828,0.0031695773359388113,0.892168402671814,0.015687765553593636,0.7221710085868835,0.01643599569797516
10,3,0.1,saved_models/model_U10_TS3_L2-0.1.keras,0.9363798499107361,0.00533517450094223,0.8893271088600159,0.016089007258415222,0.7216875553131104,0.016456512734293938
13,3,0.9,saved_models/model_U13_TS3_L2-0.9.keras,0.9509809017181396,0.004110733047127724,0.8597851991653442,0.020383639261126518,0.721172034740448,0.016486993059515953
13,4,0.1,saved_models/model_U13_TS4_L2-0.1.keras,0.962414026260376,0.003153393976390362,0.8479459285736084,0.022121425718069077,0.7129341959953308,0.016982432454824448
16,3,0.9,saved_models/model_U16_TS3_L2-0.9.keras,0.9294417500495911,0.005917002912610769,0.8815658092498779,0.017217298969626427,0.6988447904586792,0.01780719682574272
17,3,0.1,saved_models/model_U17_TS3_L2-0.1.keras,0.9639638662338257,0.003021981567144394,0.7888250350952148,0.030699437484145164,0.6919952034950256,0.0182122103869915
10,4,0.1,saved_models/model_U10_TS4_L2-0.1.keras,0.9509934186935425,0.004111562389880419,0.9063928723335266,0.013618333265185356,0.6916879415512085,0.01823933608829975
12,3,0.9,saved_models/model_U12_TS3_L2-0.9.keras,0.9507451057434082,0.004130508750677109,0.9042220115661621,0.013923668302595615,0.6906692385673523,0.01829061284661293
