neurons,neurons2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
13,8,3,0.9,saved_models/model_U13_N28_TS3_L2-0.9.keras,0.933259904384613,0.005146674811840057,0.9107834100723267,0.012446288019418716,0.8372161984443665,0.00884845107793808
19,8,4,0.9,saved_models/model_U19_N28_TS4_L2-0.9.keras,0.9251877069473267,0.00577178318053484,0.8960493206977844,0.014512361958622932,0.801578938961029,0.01079089567065239
19,4,3,0.1,saved_models/model_U19_N24_TS3_L2-0.1.keras,0.9507225751876831,0.0038000387139618397,0.8956845998764038,0.014552665874361992,0.7886629700660706,0.01148766279220581
20,12,4,0.1,saved_models/model_U20_N212_TS4_L2-0.1.keras,0.9349340200424194,0.005019853822886944,0.8715676069259644,0.01793021149933338,0.785108208656311,0.011686635203659534
14,10,4,0.9,saved_models/model_U14_N210_TS4_L2-0.9.keras,0.9438724517822266,0.004330253694206476,0.9005257487297058,0.01388741284608841,0.7848293781280518,0.011701799929141998
12,11,4,0.9,saved_models/model_U12_N211_TS4_L2-0.9.keras,0.946038007736206,0.0041631790809333324,0.880588710308075,0.01667078398168087,0.7839343547821045,0.011750474572181702
18,17,2,0.1,saved_models/model_U18_N217_TS2_L2-0.1.keras,0.92027747631073,0.006145027931779623,0.8855323195457458,0.01595735363662243,0.7812886238098145,0.011882667429745197
15,14,4,0.9,saved_models/model_U15_N214_TS4_L2-0.9.keras,0.9669275283813477,0.0025515486486256123,0.8978658318519592,0.014258761890232563,0.7777949571609497,0.012084360234439373
11,7,4,0.9,saved_models/model_U11_N27_TS4_L2-0.9.keras,0.9097471237182617,0.006963029503822327,0.8955738544464111,0.01457874197512865,0.7773306965827942,0.012109607458114624
12,9,4,0.1,saved_models/model_U12_N29_TS4_L2-0.1.keras,0.9504629969596863,0.0038217895198613405,0.8989139199256897,0.014112438075244427,0.7764668464660645,0.012156586162745953
18,5,2,0.9,saved_models/model_U18_N25_TS2_L2-0.9.keras,0.9118643999099731,0.006793508771806955,0.8827101588249207,0.016350777819752693,0.7750471830368042,0.012221766635775566
16,4,3,0.1,saved_models/model_U16_N24_TS3_L2-0.1.keras,0.9571220874786377,0.003306538565084338,0.8967482447624207,0.01440428290516138,0.7730607986450195,0.012335751205682755
20,10,4,0.9,saved_models/model_U20_N210_TS4_L2-0.9.keras,0.9256191849708557,0.0057384963147342205,0.9064611792564392,0.013058782555162907,0.7716479301452637,0.01241865660995245
12,6,3,0.9,saved_models/model_U12_N26_TS3_L2-0.9.keras,0.9333330988883972,0.005141031462699175,0.8776841759681702,0.017063841223716736,0.7702946662902832,0.012486109510064125
15,11,2,0.1,saved_models/model_U15_N211_TS2_L2-0.1.keras,0.9168350696563721,0.0064103687182068825,0.8846921920776367,0.01607448048889637,0.7693277597427368,0.01253250241279602
13,9,3,0.1,saved_models/model_U13_N29_TS3_L2-0.1.keras,0.9089040756225586,0.007024880964308977,0.8701754808425903,0.01811135746538639,0.7691970467567444,0.012545771896839142
17,5,3,0.1,saved_models/model_U17_N25_TS3_L2-0.1.keras,0.9142845273017883,0.006609967444092035,0.8664512038230896,0.018630914390087128,0.7688661813735962,0.012563757598400116
11,2,2,0.1,saved_models/model_U11_N22_TS2_L2-0.1.keras,0.9263871908187866,0.005674088839441538,0.8710861802101135,0.017971221357584,0.7681629657745361,0.012595787644386292
15,13,3,0.9,saved_models/model_U15_N213_TS3_L2-0.9.keras,0.9350865483283997,0.00500581506639719,0.9001845121383667,0.01392490603029728,0.767018735408783,0.01266417931765318
11,10,4,0.1,saved_models/model_U11_N210_TS4_L2-0.1.keras,0.9411322474479675,0.004541661590337753,0.8804274797439575,0.016693292185664177,0.7664988040924072,0.012698688544332981
20,15,3,0.1,saved_models/model_U20_N215_TS3_L2-0.1.keras,0.9138806462287903,0.006641109939664602,0.8868005275726318,0.015792056918144226,0.7642502784729004,0.012814663350582123
13,8,4,0.9,saved_models/model_U13_N28_TS4_L2-0.9.keras,0.9757421612739563,0.0018714973703026772,0.9201202392578125,0.01115186046808958,0.7635624408721924,0.01285837683826685
