,0
0,0.017844105
1,0.017593823
2,0.017330775
3,0.017054426
4,0.016764125
5,0.01645906
6,0.016138338
7,0.015800916
8,0.015445711
9,0.015071471
10,0.01467695
11,0.0142608285
12,0.013821776
13,0.01335864
14,0.012870575
15,0.012357314
16,0.011819091
17,0.011256631
18,0.010671043
19,0.010063741
20,0.00943636
21,0.00879079
22,0.00812912
23,0.0074536917
24,0.0067670196
25,0.0060717785
26,0.0053707645
27,0.004666806
28,0.0039627673
29,0.0032614411
30,0.002565528
31,0.0018775852
32,0.0011999735
33,0.0005349646
34,-0.00011544286
35,-0.0007493694
36,-0.0013650958
37,-0.001961124
38,-0.0025360843
39,-0.0030887048
40,-0.003617853
41,-0.004122394
42,-0.0046012425
43,-0.0050533363
44,-0.0054775877
45,-0.0058729677
46,-0.0062385383
47,-0.0065734196
48,-0.0068768817
49,-0.0071483324
50,-0.0073873973
51,-0.007593883
52,-0.007767761
53,-0.007909148
54,-0.008018281
55,-0.008095512
56,-0.008141339
57,-0.008156399
58,-0.0081415
59,-0.008097666
60,-0.008026126
61,-0.007928247
62,-0.007805627
63,-0.0076600113
64,-0.007493268
65,-0.0073074205
66,-0.007104604
67,-0.0068870652
68,-0.0066571683
69,-0.006417405
70,-0.0061702784
71,-0.0059183342
72,-0.0056640566
73,-0.0054098642
74,-0.0051580975
75,-0.00491097
76,-0.0046705087
77,-0.0044386
78,-0.0042169145
79,-0.0040068296
80,-0.003809506
81,-0.003625839
82,-0.0034564133
83,-0.003301574
84,-0.003161473
85,-0.0030361358
86,-0.0029253908
87,-0.0028290474
88,-0.0027469
89,-0.002678688
90,-0.0026240319
91,-0.0025824958
92,-0.0025535128
93,-0.0025363574
94,-0.0025301655
95,-0.0025340307
96,-0.0025469426
97,-0.0025679495
98,-0.002596052
99,-0.0026302864
100,-0.0026697437
101,-0.002713617
102,-0.0027611402
103,-0.0028116389
104,-0.002864595
105,-0.002919594
106,-0.0029763815
107,-0.0030348785
108,-0.0030951754
109,-0.0031574052
110,-0.0032217903
111,-0.0032885747
112,-0.0033580072
113,-0.0034303186
114,-0.0035056625
115,-0.0035841651
116,-0.003665857
117,-0.0037507007
118,-0.0038385415
119,-0.0039291224
120,-0.004022045
121,-0.0041167806
122,-0.0042127287
123,-0.0043092193
124,-0.004405644
125,-0.004501507
126,-0.004596392
127,-0.0046899174
128,-0.004781703
129,-0.0048713097
130,-0.004958169
131,-0.005041673
132,-0.0051211906
133,-0.0051961537
134,-0.005266086
135,-0.0053305626
136,-0.005389257
137,-0.005441924
138,-0.0054883636
139,-0.0055284975
140,-0.0055623427
141,-0.0055900062
142,-0.0056116963
143,-0.005627765
144,-0.0056386827
145,-0.00564507
146,-0.0056476113
147,-0.005647024
148,-0.005644051
149,-0.0056394194
150,-0.0056337644
151,-0.0056277066
152,-0.0056217606
153,-0.00561637
154,-0.0056118784
155,-0.005608494
156,-0.005606323
157,-0.005605324
158,-0.0056053433
159,-0.005606114
160,-0.0056073265
161,-0.005608646
162,-0.005609768
163,-0.0056104
164,-0.0056103375
165,-0.0056093996
166,-0.0056074546
167,-0.0056044343
168,-0.005600365
169,-0.0055953045
170,-0.005589445
171,-0.005583058
172,-0.005576523
173,-0.005570243
174,-0.0055647083
175,-0.005560517
176,-0.005558356
177,-0.005558971
178,-0.0055631627
179,-0.0055717574
180,-0.0055856113
181,-0.0056056627
182,-0.0056329328
183,-0.0056684245
184,-0.0057131085
185,-0.0057678814
186,-0.0058335005
187,-0.0059106066
188,-0.005999669
189,-0.00610099
190,-0.0062147006
191,-0.0063407226
192,-0.006478723
193,-0.0066282237
194,-0.0067884647
195,-0.0069585075
196,-0.0071371943
197,-0.0073231747
198,-0.007514955
199,-0.0077109747
200,-0.0079096
201,-0.008109116
202,-0.008307832
203,-0.008503984
204,-0.00869582
205,-0.008881599
206,-0.009059667
