neurons,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
16,4,0.1,saved_models/model_U16_TS4_L2-0.1.keras,0.8833659291267395,0.008998346514999866,0.8790797591209412,0.01688145101070404,0.8256510496139526,0.009481760673224926
14,3,0.1,saved_models/model_U14_TS3_L2-0.1.keras,0.9141880869865417,0.006617404520511627,0.8885828852653503,0.015543404966592789,0.8088647127151489,0.010389556176960468
18,3,0.1,saved_models/model_U18_TS3_L2-0.1.keras,0.896094560623169,0.008012688718736172,0.881334125995636,0.01655465178191662,0.8057303428649902,0.010559930466115475
20,3,0.8,saved_models/model_U20_TS3_L2-0.8.keras,0.9085596799850464,0.007051436230540276,0.8899016380310059,0.015359428711235523,0.7999561429023743,0.010873797349631786
18,4,0.1,saved_models/model_U18_TS4_L2-0.1.keras,0.9148566126823425,0.006568831857293844,0.9043912291526794,0.013347764499485493,0.7959989905357361,0.011094354093074799
14,4,0.1,saved_models/model_U14_TS4_L2-0.1.keras,0.9262372255325317,0.005690815858542919,0.9029136300086975,0.013554046861827374,0.7955992221832275,0.011116093955934048
20,4,0.8,saved_models/model_U20_TS4_L2-0.8.keras,0.9254311919212341,0.005753000732511282,0.9020425081253052,0.013675665482878685,0.7948707938194275,0.011155709624290466
16,4,0.8,saved_models/model_U16_TS4_L2-0.8.keras,0.9112200736999512,0.006849389523267746,0.8961250185966492,0.01450179424136877,0.7891148328781128,0.011468740180134773
10,3,0.1,saved_models/model_U10_TS3_L2-0.1.keras,0.8821255564689636,0.009089909493923187,0.8758169412612915,0.017324337735772133,0.7818616032600403,0.011857363395392895
12,4,0.1,saved_models/model_U12_TS4_L2-0.1.keras,0.9129942059516907,0.00671251630410552,0.8840246200561523,0.01619110256433487,0.777805745601654,0.01208377256989479
12,3,0.8,saved_models/model_U12_TS3_L2-0.8.keras,0.9173269867897034,0.006375347264111042,0.8873868584632874,0.01571025513112545,0.7751829624176025,0.012220396660268307
14,3,0.8,saved_models/model_U14_TS3_L2-0.8.keras,0.9155850410461426,0.006509676109999418,0.8871304988861084,0.015746023505926132,0.7738771438598633,0.012291377410292625
10,4,0.1,saved_models/model_U10_TS4_L2-0.1.keras,0.9018148183822632,0.007575007155537605,0.8717775940895081,0.017900891602039337,0.772781491279602,0.012357010506093502
12,4,0.8,saved_models/model_U12_TS4_L2-0.8.keras,0.9539434909820557,0.0035532715264707804,0.8870038986206055,0.015775179490447044,0.7714322805404663,0.012430385686457157
6,4,0.1,saved_models/model_U6_TS4_L2-0.1.keras,0.9351407289505005,0.005003906320780516,0.9017139077186584,0.013721541501581669,0.7703406810760498,0.012489749118685722
6,3,0.1,saved_models/model_U6_TS3_L2-0.1.keras,0.9175715446472168,0.00635648425668478,0.8866774439811707,0.01580922305583954,0.7674733400344849,0.012639466673135757
6,4,0.8,saved_models/model_U6_TS4_L2-0.8.keras,0.9224473834037781,0.005983202718198299,0.8956362009048462,0.014570038765668869,0.7653138041496277,0.0127631314098835
8,3,0.8,saved_models/model_U8_TS3_L2-0.8.keras,0.9155383110046387,0.0065132793970406055,0.8965490460395813,0.014432069845497608,0.7622204422950745,0.012924999929964542
20,4,0.1,saved_models/model_U20_TS4_L2-0.1.keras,0.92937833070755,0.0054484773427248,0.8998210430145264,0.013985799625515938,0.7609703540802002,0.012999342754483223
14,4,0.8,saved_models/model_U14_TS4_L2-0.8.keras,0.9251207113265991,0.005776951089501381,0.907639741897583,0.012894241139292717,0.7580388784408569,0.013158770278096199
8,4,0.1,saved_models/model_U8_TS4_L2-0.1.keras,0.9205912351608276,0.006126402877271175,0.9012527465820312,0.013785922899842262,0.7520347237586975,0.013485298492014408
6,3,0.8,saved_models/model_U6_TS3_L2-0.8.keras,0.9285681247711182,0.00550848338752985,0.8672808408737183,0.018515173345804214,0.7500871419906616,0.013584530912339687
8,3,0.1,saved_models/model_U8_TS3_L2-0.1.keras,0.925537645816803,0.005742180626839399,0.8927867412567139,0.014956936240196228,0.7496941685676575,0.013605891726911068
20,3,0.1,saved_models/model_U20_TS3_L2-0.1.keras,0.9517414569854736,0.003721467452123761,0.8792431354522705,0.01684635877609253,0.7476620674133301,0.013716353103518486
18,3,0.8,saved_models/model_U18_TS3_L2-0.8.keras,0.9098811149597168,0.0069495332427322865,0.8715457320213318,0.017920196056365967,0.7469011545181274,0.013757714070379734
18,4,0.8,saved_models/model_U18_TS4_L2-0.8.keras,0.9115833640098572,0.00682136369869113,0.8916671872138977,0.015124145895242691,0.7452123165130615,0.013856327161192894
16,3,0.1,saved_models/model_U16_TS3_L2-0.1.keras,0.9146931767463684,0.006578454282134771,0.887778639793396,0.015655603259801865,0.7405633926391602,0.014102214016020298
10,4,0.8,saved_models/model_U10_TS4_L2-0.8.keras,0.9154500961303711,0.0065230424515903,0.8832648992538452,0.016297169029712677,0.7395721673965454,0.0141630619764328
16,3,0.8,saved_models/model_U16_TS3_L2-0.8.keras,0.9532953500747681,0.0036016397643834352,0.9009815454483032,0.013813712634146214,0.7395436763763428,0.014157642610371113
8,4,0.8,saved_models/model_U8_TS4_L2-0.8.keras,0.9507465958595276,0.00379991065710783,0.882615864276886,0.016387782990932465,0.7348261475563049,0.014421166852116585
12,3,0.1,saved_models/model_U12_TS3_L2-0.1.keras,0.9093440771102905,0.006990950088948011,0.8541505336761475,0.02034694142639637,0.7338420748710632,0.014467565342783928
10,3,0.8,saved_models/model_U10_TS3_L2-0.8.keras,0.9089626669883728,0.007020363584160805,0.877967894077301,0.017024260014295578,0.7317154407501221,0.0145831648260355
