neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
15,4,3,0.9,saved_models/model_U15_U24_TS3_L2-0.9.keras,0.9258127212524414,0.005720966495573521,0.9018328189849854,0.013694949448108673,0.8041922450065613,0.010643537156283855
18,14,4,0.9,saved_models/model_U18_U214_TS4_L2-0.9.keras,0.9322826266288757,0.005224408581852913,0.905288577079773,0.013222485780715942,0.800294041633606,0.010860774666070938
13,8,4,0.1,saved_models/model_U13_U28_TS4_L2-0.1.keras,0.9324174523353577,0.005214008968323469,0.9152852296829224,0.01182687096297741,0.7980008125305176,0.010985489003360271
20,17,3,0.9,saved_models/model_U20_U217_TS3_L2-0.9.keras,0.9276525974273682,0.0055790850892663,0.8965755105018616,0.014428379945456982,0.7905644774436951,0.011384300887584686
16,15,4,0.1,saved_models/model_U16_U215_TS4_L2-0.1.keras,0.9213852882385254,0.006065141409635544,0.8955541253089905,0.014581496827304363,0.789609432220459,0.011441841721534729
12,11,3,0.9,saved_models/model_U12_U211_TS3_L2-0.9.keras,0.9322537779808044,0.005224263295531273,0.8960310220718384,0.014504335820674896,0.7890220880508423,0.011468143202364445
15,4,4,0.9,saved_models/model_U15_U24_TS4_L2-0.9.keras,0.9441187977790833,0.004311245866119862,0.9057921767234802,0.013152181170880795,0.7875148057937622,0.011555754579603672
12,11,4,0.9,saved_models/model_U12_U211_TS4_L2-0.9.keras,0.9222021102905273,0.006002124864608049,0.9053525328636169,0.01321355439722538,0.7872486114501953,0.011570231057703495
19,15,4,0.9,saved_models/model_U19_U215_TS4_L2-0.9.keras,0.9422296285629272,0.004456997849047184,0.9015430212020874,0.013745390810072422,0.786162793636322,0.011629284359514713
15,4,4,0.1,saved_models/model_U15_U24_TS4_L2-0.1.keras,0.9378160238265991,0.004797507077455521,0.9026790261268616,0.013586797751486301,0.7853728532791138,0.011672244407236576
13,8,4,0.9,saved_models/model_U13_U28_TS4_L2-0.9.keras,0.9424378275871277,0.004440933465957642,0.9079262018203735,0.012854249216616154,0.7844732999801636,0.011721166782081127
20,17,4,0.9,saved_models/model_U20_U217_TS4_L2-0.9.keras,0.9451724886894226,0.0042299535125494,0.911385715007782,0.012371272780001163,0.7790136337280273,0.012018080800771713
14,11,4,0.9,saved_models/model_U14_U211_TS4_L2-0.9.keras,0.9195701479911804,0.0062051797285676,0.9053436517715454,0.013214795850217342,0.7772884368896484,0.012111905962228775
16,15,3,0.1,saved_models/model_U16_U215_TS3_L2-0.1.keras,0.925727367401123,0.005727549083530903,0.9002388119697571,0.013917328789830208,0.7767870426177979,0.012133201584219933
