neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
16,9,4,0.1,saved_models/model_U16_U29_TS4_L2-0.1.keras,0.915138840675354,0.006547058466821909,0.8896450996398926,0.015406441874802113,0.8383623361587524,0.008790471591055393
15,4,4,0.1,saved_models/model_U15_U24_TS4_L2-0.1.keras,0.9419429302215576,0.004479114897549152,0.9033973217010498,0.013486520387232304,0.8188630938529968,0.009850917384028435
11,2,4,0.1,saved_models/model_U11_U22_TS4_L2-0.1.keras,0.926974356174469,0.005633944179862738,0.9093443155288696,0.012656273320317268,0.8150202035903931,0.010059905238449574
18,6,4,0.1,saved_models/model_U18_U26_TS4_L2-0.1.keras,0.9086998701095581,0.007043825462460518,0.8969445824623108,0.01438737753778696,0.8103017807006836,0.010316514410078526
19,6,4,0.1,saved_models/model_U19_U26_TS4_L2-0.1.keras,0.9431820511817932,0.004383519291877747,0.9089534282684326,0.012710842303931713,0.8094313144683838,0.010363854467868805
15,6,4,0.1,saved_models/model_U15_U26_TS4_L2-0.1.keras,0.9360069036483765,0.004937082529067993,0.8982928395271301,0.014199146069586277,0.8065701127052307,0.010519457049667835
17,6,3,0.1,saved_models/model_U17_U26_TS3_L2-0.1.keras,0.9229233264923096,0.005943784490227699,0.8891866207122803,0.015459181740880013,0.8040745258331299,0.010649935342371464
14,8,4,0.9,saved_models/model_U14_U28_TS4_L2-0.9.keras,0.9429775476455688,0.00439929636195302,0.9103899002075195,0.012510301545262337,0.8013309240341187,0.01080438494682312
19,4,3,0.9,saved_models/model_U19_U24_TS3_L2-0.9.keras,0.9319137334823608,0.005250486545264721,0.9020892977714539,0.013659174554049969,0.8000458478927612,0.010868922807276249
16,8,4,0.1,saved_models/model_U16_U28_TS4_L2-0.1.keras,0.9409306645393372,0.00455721328034997,0.9101611971855164,0.01254222821444273,0.7979845404624939,0.010986372828483582
16,9,4,0.9,saved_models/model_U16_U29_TS4_L2-0.9.keras,0.9291015863418579,0.005469828844070435,0.9075523614883423,0.012906440533697605,0.7969914674758911,0.011040379293262959
15,14,4,0.9,saved_models/model_U15_U214_TS4_L2-0.9.keras,0.9284794926643372,0.005517821293324232,0.8991121053695679,0.014084767550230026,0.7951854467391968,0.01113859936594963
10,5,4,0.1,saved_models/model_U10_U25_TS4_L2-0.1.keras,0.9289443492889404,0.005481956992298365,0.9006606340408325,0.013868587091565132,0.7949151396751404,0.011153298430144787
18,6,3,0.9,saved_models/model_U18_U26_TS3_L2-0.9.keras,0.9279757142066956,0.005554167088121176,0.9041454195976257,0.013372326269745827,0.7924442291259766,0.011282123625278473
18,6,4,0.9,saved_models/model_U18_U26_TS4_L2-0.9.keras,0.9387531876564026,0.00472520524635911,0.9007997512817383,0.013849161565303802,0.7923172116279602,0.011294583790004253
18,6,3,0.1,saved_models/model_U18_U26_TS3_L2-0.1.keras,0.9125710129737854,0.006742105353623629,0.892957329750061,0.014933139085769653,0.7916638255119324,0.011324544437229633
16,9,3,0.1,saved_models/model_U16_U29_TS3_L2-0.1.keras,0.9272758364677429,0.00560813769698143,0.8938168287277222,0.01481323316693306,0.7895073890686035,0.011441760696470737
19,6,3,0.1,saved_models/model_U19_U26_TS3_L2-0.1.keras,0.949181318283081,0.003918893169611692,0.9030856490135193,0.01352017279714346,0.7892935276031494,0.011453386396169662
14,10,4,0.9,saved_models/model_U14_U210_TS4_L2-0.9.keras,0.9297740459442139,0.005417948123067617,0.897162139415741,0.014356999658048153,0.7880186438560486,0.011528355069458485
13,4,4,0.1,saved_models/model_U13_U24_TS4_L2-0.1.keras,0.9263225197792053,0.005684234201908112,0.9062677025794983,0.013085790909826756,0.7854155898094177,0.011669918894767761
16,8,4,0.9,saved_models/model_U16_U28_TS4_L2-0.9.keras,0.9357016682624817,0.004960629157721996,0.9051939249038696,0.013235697522759438,0.7853904962539673,0.011671285144984722
18,11,4,0.1,saved_models/model_U18_U211_TS4_L2-0.1.keras,0.9396442174911499,0.004656462464481592,0.905612587928772,0.013177246786653996,0.784912109375,0.011697301641106606
18,16,3,0.1,saved_models/model_U18_U216_TS3_L2-0.1.keras,0.9328529238700867,0.005178061313927174,0.8938683271408081,0.014806048013269901,0.7839267253875732,0.011745112016797066
10,5,4,0.9,saved_models/model_U10_U25_TS4_L2-0.9.keras,0.9426747560501099,0.004422654397785664,0.8904743790626526,0.015290670096874237,0.7833192348480225,0.01178392581641674
18,16,4,0.9,saved_models/model_U18_U216_TS4_L2-0.9.keras,0.9284219741821289,0.0055222581140697,0.8920135498046875,0.015075783245265484,0.783179759979248,0.011791514232754707
19,4,3,0.1,saved_models/model_U19_U24_TS3_L2-0.1.keras,0.9355533123016357,0.004969820845872164,0.8782607913017273,0.016983402892947197,0.7827976942062378,0.011806481517851353
16,9,3,0.9,saved_models/model_U16_U29_TS3_L2-0.9.keras,0.9258561134338379,0.005717623047530651,0.9003320932388306,0.013904311694204807,0.7816210985183716,0.011870437301695347
10,5,3,0.9,saved_models/model_U10_U25_TS3_L2-0.9.keras,0.9410095810890198,0.0045490567572414875,0.895419716835022,0.014589624479413033,0.7813864350318909,0.01188319269567728
19,4,4,0.9,saved_models/model_U19_U24_TS4_L2-0.9.keras,0.9464765787124634,0.0041293432004749775,0.9146801829338074,0.01191133726388216,0.7797309160232544,0.011979073286056519
18,11,4,0.9,saved_models/model_U18_U211_TS4_L2-0.9.keras,0.9386062622070312,0.004736541770398617,0.9030125737190247,0.013540233485400677,0.7790293097496033,0.012017229571938515
16,9,4,0.9,saved_models/model_U16_U29_TS4_L2-0.9.keras,0.9270676970481873,0.005626743659377098,0.9044915437698364,0.013333754613995552,0.778950035572052,0.01202154066413641
11,2,3,0.9,saved_models/model_U11_U22_TS3_L2-0.9.keras,0.9353479146957397,0.004985657054930925,0.9076213240623474,0.01288741547614336,0.7784810662269592,0.012041120789945126
17,13,4,0.9,saved_models/model_U17_U213_TS4_L2-0.9.keras,0.9238985180854797,0.005871247500181198,0.9011507034301758,0.013800165615975857,0.7779702544212341,0.012074824422597885
15,6,3,0.1,saved_models/model_U15_U26_TS3_L2-0.1.keras,0.930421769618988,0.005365539807826281,0.901947021484375,0.013679019175469875,0.777624249458313,0.012087694369256496
13,4,4,0.9,saved_models/model_U13_U24_TS4_L2-0.9.keras,0.9474889039993286,0.004051243420690298,0.8825743794441223,0.016393572092056274,0.7774574756622314,0.01210271380841732
14,10,3,0.1,saved_models/model_U14_U210_TS3_L2-0.1.keras,0.9179921746253967,0.006324051413685083,0.8986032009124756,0.014145506545901299,0.7758138179779053,0.01218610443174839
14,12,4,0.1,saved_models/model_U14_U212_TS4_L2-0.1.keras,0.9486799836158752,0.003959350753575563,0.8974007368087769,0.014323691837489605,0.7754616737365723,0.012211252003908157
19,6,4,0.9,saved_models/model_U19_U26_TS4_L2-0.9.keras,0.9331550002098083,0.005157106090337038,0.9003007411956787,0.013918828219175339,0.7751328945159912,0.012229133397340775
13,4,4,0.1,saved_models/model_U13_U24_TS4_L2-0.1.keras,0.9324339032173157,0.00521274097263813,0.8956719636917114,0.014565039426088333,0.7750918865203857,0.012231362983584404
19,6,4,0.9,saved_models/model_U19_U26_TS4_L2-0.9.keras,0.9521597027778625,0.0036908872425556183,0.8794492483139038,0.01682986691594124,0.7750099897384644,0.012235816568136215
14,10,4,0.1,saved_models/model_U14_U210_TS4_L2-0.1.keras,0.935534656047821,0.004973514936864376,0.9072637557983398,0.012946736067533493,0.7738319039344788,0.012299885042011738
